Code,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R35208,éRå˚åß,ä‚çëés,136757,64455,72302,134858,63610,71248,16187,8212,7975,73838,36516,37322,45401,18950,26451,23713,8888,14825,1299,950,1816,3393,4202,59080,58927,132076,34658,19574,15901,9537,9317,583,212,87372,16176,6556,24,818,362,14,37,145,1600,104,290,217,790,590,245,590,70,547,108,27,1182,5347,59919,292,5395,9003,318,234,3222,10286,918,866,1182,5203,2379,2531,10191,648,3659,3569,311,14402,45206,89.6,10.5,70661185,18024080,68724211,21003125,9819581,7710490,1121296,26,1846,40,530,6655,21,329,3738,9,3286,17,8,140200,8570,1286,652,15,15,123,66,316,92,310,27,1824
R35210,éRå˚åß,åıés,51369,24425,26944,51053,24270,26783,6370,3267,3103,27617,13681,13936,17289,7417,9872,7891,3008,4883,270,363,667,1482,1501,20953,20917,49991,13570,5587,6323,3834,2958,226,55,9213,4312,1969,8,222,122,3,8,42,522,30,45,60,208,215,102,174,17,167,23,9,344,1616,20688,86,1818,4859,53,115,544,3308,269,163,258,1250,683,935,3563,224,2112,443,91,6677,13920,94.2,9.9,22189555,7990936,21398488,7017860,2228401,1689595,14582,9,372,12,218,2786,6,130,1589,3,1429,12,2,52681,5262,420,168,5,5,38,21,91,26,137,12,1190
R35211,éRå˚åß,í∑ñÂés,35439,16328,19111,35089,16172,18917,3560,1857,1703,17793,8819,8974,14070,5639,8431,7639,2694,4945,350,170,612,758,920,14666,14628,33969,7991,4528,4339,2543,2658,90,54,35729,8849,1913,22,156,190,4,8,30,558,22,47,43,242,158,69,142,30,140,42,31,347,1535,14637,256,1103,2518,39,47,540,2853,212,133,194,1452,507,661,2544,320,579,562,372,3622,10643,89.5,10.5,21979116,3631215,21161797,5751295,1676410,1952962,128275,3,224,11,145,1470,5,80,804,2,992,9,2,36271,5051,440,172,2,4,27,17,62,20,77,9,662
R35212,éRå˚åß,ñˆà‰és,32945,15357,17588,32808,15305,17503,3690,1874,1816,17149,8479,8670,12008,4940,7068,6183,2231,3952,115,166,524,950,1094,14170,14147,31683,8141,4701,4067,2364,2631,96,52,14005,5861,1965,14,158,85,7,13,38,545,32,92,64,262,178,82,156,26,172,40,15,243,1707,15609,220,1206,1251,230,47,520,3638,407,247,345,1424,753,622,2948,329,818,598,226,2457,12926,93.9,9.7,16835054,4809289,16504437,5127773,1791948,1673659,22427,3,149,12,149,1513,4,77,810,3,1266,10,2,33448,4129,440,228,4,3,38,18,102,26,103,10,690
R35213,éRå˚åß,î¸îIés,26159,12165,13994,25990,12087,13903,2502,1284,1218,13749,6857,6892,9887,4005,5882,5393,1889,3504,164,109,436,568,752,10095,10053,24410,5517,2915,2984,1711,1677,69,22,47264,11156,1377,33,133,106,7,6,29,347,12,20,32,120,114,75,102,32,162,39,34,246,1097,12628,350,873,3247,30,9,520,2056,108,47,185,724,384,705,1648,190,752,597,356,4317,7955,91.4,14.7,17146639,3472980,16213269,4218678,1124347,1655179,182331,3,166,17,159,1085,7,83,557,2,537,13,3,26206,3586,297,83,2,2,18,11,30,12,36,11,411
R35215,éRå˚åß,é¸ìÏés,144842,69819,75023,143402,69055,74347,17992,9199,8793,81321,41173,40148,44114,18608,25506,21278,7987,13291,1074,1057,1819,3871,4301,61999,61890,140824,36447,20470,15619,9054,8510,664,218,65629,14586,7359,20,865,344,14,72,234,1799,151,557,300,884,648,292,522,51,523,79,21,1212,6126,73497,197,6812,12458,450,806,5777,11620,1856,1586,1793,5232,3155,3219,10285,752,5748,1701,200,19317,53980,93.3,8.1,65824215,24496714,63092963,19830846,8536168,8611832,128167,22,2153,35,507,7309,18,319,3876,8,3315,35,5,147705,9433,1283,750,12,13,131,66,349,91,346,27,2105
R35216,éRå˚åß,éRózè¨ñÏìcés,62671,29545,33126,62145,29294,32851,8080,4190,3890,34933,17311,17622,19537,7979,11558,9678,3362,6316,504,456,769,1866,1922,25740,25689,61189,15557,7594,6805,3870,3733,267,86,13309,7112,2333,13,242,163,9,4,51,623,28,70,62,263,243,113,227,17,175,28,15,405,1913,26293,368,1900,6962,229,36,1051,4364,328,263,462,1852,1286,1117,3712,190,1524,643,374,8862,17057,92.1,11.6,26350863,9986336,25559651,9714187,2056377,2388882,26199,7,610,13,218,3337,7,147,1651,4,1506,12,4,64422,10629,522,217,8,6,62,33,156,46,178,17,1512
R35305,éRå˚åß,é¸ñhëÂìáí¨,17199,7844,9355,17127,7824,9303,1162,602,560,7106,3647,3459,8914,3585,5329,5244,1818,3426,72,45,445,498,511,8038,7993,15810,4335,3102,2897,1851,2277,45,11,13809,6457,1004,1,109,49,0,6,21,285,9,13,15,89,73,63,113,21,101,35,2,158,844,5870,5,476,507,0,13,136,1110,51,38,46,444,140,536,1584,92,274,408,15,983,4872,93.3,12.2,15032439,1333173,14236811,4030151,782107,1112524,0,1,0,11,98,476,5,53,265,1,250,7,4,17465,5314,253,54,0,3,13,8,35,13,28,13,327
R35321,éRå˚åß,òañÿí¨,6285,3097,3188,6205,3064,3141,1044,515,529,3666,1903,1763,1570,676,894,794,305,489,80,72,74,362,335,2593,2592,6223,1650,788,584,346,349,34,14,1058,446,183,0,46,7,2,1,5,25,3,6,8,18,15,8,11,2,21,5,0,53,130,2868,0,224,1146,10,1,42,193,37,12,84,180,121,51,145,18,512,92,0,1370,1498,89,7.9,4728877,1445862,4538785,789438,1132424,788777,143797,1,195,1,29,429,1,19,173,0,0,3,1,6514,6,21,10,0,0,5,3,6,4,7,1,59
R35341,éRå˚åß,è„ä÷í¨,2803,1283,1520,2800,1282,1518,173,88,85,1126,591,535,1504,604,900,912,324,588,3,8,98,69,84,1459,1458,2774,740,612,519,314,454,2,0,3469,1249,248,0,37,20,2,1,18,61,2,2,3,20,16,6,17,10,21,11,1,57,190,1113,0,198,69,53,1,155,137,13,4,4,66,50,39,141,33,62,74,14,267,832,93.3,9.8,3446681,198577,3331392,732865,258385,277102,351,1,0,2,12,58,2,10,39,0,0,12,1,3097,1899,54,7,0,0,7,2,3,1,1,2,63
R35343,éRå˚åß,ìcïzé{í¨,15317,7242,8075,15260,7224,8036,1875,945,930,8250,4090,4160,5153,2182,2971,2457,923,1534,45,96,197,509,511,6131,6116,14855,3889,1608,1866,1134,931,48,19,5042,2481,555,4,76,68,2,2,9,129,7,15,16,38,49,31,46,7,46,8,4,146,405,4957,43,403,1516,20,30,131,847,47,43,69,145,108,426,681,51,198,185,43,1933,2981,93.1,13.6,5950543,1695860,5672570,1939368,514131,617528,2491,2,163,4,62,825,1,32,421,1,431,9,1,15769,1092,108,27,1,0,5,6,6,7,5,5,310
R35344,éRå˚åß,ïΩê∂í¨,12798,5906,6892,12732,5883,6849,1314,651,663,6395,3151,3244,5058,2092,2966,2788,1018,1770,50,76,186,402,445,4951,4940,11741,3075,1362,1544,909,790,45,16,3458,2039,518,1,69,44,2,1,19,131,4,10,13,47,52,16,48,7,45,9,1,113,404,4511,4,291,809,6,1,262,797,27,40,52,292,162,195,1199,44,201,129,4,1100,3407,89.2,15,5284734,1256074,5062604,1522973,486296,420559,3025,1,54,2,38,547,1,25,292,1,312,7,1,12547,1295,110,34,2,1,9,4,29,6,30,3,186
R35502,éRå˚åß,à¢ïêí¨,3463,1550,1913,3434,1547,1887,305,164,141,1550,775,775,1608,611,997,972,326,646,29,7,81,88,90,1492,1488,3350,777,484,491,270,333,4,11,11595,1731,195,10,20,18,0,0,2,50,2,1,2,14,19,8,15,3,21,8,12,38,145,1219,86,81,281,0,0,4,208,12,1,5,71,44,87,172,11,72,65,105,362,752,78.3,2.2,3343597,290336,2982062,712159,301187,165990,55262,0,0,2,18,136,1,11,56,2,75,3,0,3550,300,45,10,0,0,3,1,2,3,2,1,68
R36201,ìøìáåß,ìøìáés,258554,123014,135540,253499,120750,132749,29732,15206,14526,151895,74188,77707,69378,29428,39950,33947,12645,21302,1213,2093,2774,7603,7529,115015,114765,249837,58085,46270,22448,12032,13835,1229,431,19139,14096,15031,60,1070,847,23,158,238,3769,341,1319,700,2159,1338,585,1205,71,1041,102,65,1917,13049,142746,601,7482,12291,828,2884,5488,28195,5013,3823,4261,13778,5982,10078,24546,976,11079,5412,630,19773,122343,93.9,6.5,98898717,39314566,97238484,43633155,10782998,9842164,9216,31,2060,34,864,12783,19,557,7117,13,8797,41,2,256371,3448,2569,1899,30,41,296,177,1362,473,1422,64,5711
R36202,ìøìáåß,ñ¬ñÂés,59101,28125,30976,58662,27966,30696,6600,3431,3169,33763,16649,17114,18448,7910,10538,9018,3409,5609,270,353,742,1485,1681,23234,23153,56747,13378,6826,5958,3135,3031,221,79,13566,6466,2895,20,203,252,2,13,60,726,39,173,103,355,264,167,257,27,184,33,34,458,2403,25267,139,1236,6026,39,84,920,3983,312,509,317,2447,856,1714,4133,402,1382,668,219,7282,17766,93.4,15.6,25205446,7465414,24335024,8899391,1535134,3576515,12450,18,827,17,242,2649,6,137,1455,2,1658,12,1,60211,4854,591,289,5,5,53,29,150,48,249,19,971
R36203,ìøìáåß,è¨èºìáés,38755,18680,20075,38586,18638,19948,4456,2292,2164,22238,11210,11028,11934,5089,6845,5874,2199,3675,161,253,514,1080,1349,15233,15200,37723,8872,4299,3989,2158,1946,176,55,4537,3882,1771,28,147,152,2,6,35,512,24,78,39,217,173,76,137,14,103,27,29,299,1443,16700,480,692,2547,26,24,554,2905,175,162,128,1224,658,747,4702,274,521,878,483,3239,12978,91.7,12.3,17664158,4269055,17510889,6446688,1047198,3740711,0,9,124,11,177,1786,2,77,906,2,1223,11,1,39676,2742,409,183,5,7,28,17,204,31,123,11,931
R36204,ìøìáåß,à¢ìÏés,73019,35344,37675,72668,35235,37433,9365,4767,4598,41090,20796,20294,22250,9593,12657,11370,4379,6991,211,508,963,1520,1792,27193,27129,70810,15761,7025,6947,3766,3233,286,109,27925,12892,3392,35,345,303,8,9,119,839,62,129,88,345,317,142,266,42,278,54,44,650,2698,36573,319,2317,13789,370,65,1524,4482,629,384,554,1748,837,1607,4708,620,1519,1018,371,16137,20065,88.3,5.7,34282716,14101622,33180297,12109457,3108496,4252586,195582,13,573,26,336,3898,11,213,2200,5,2163,42,3,75447,6434,701,249,6,6,58,32,133,49,137,29,2134
R36205,ìøìáåß,ãgñÏêÏés,41466,19384,22082,41160,19298,21862,4434,2203,2231,22486,10955,11531,14336,6099,8237,7815,2865,4950,258,251,626,859,983,15714,15670,39932,8942,4133,4373,2324,2217,147,55,14414,6128,2058,17,208,153,5,8,34,542,31,73,57,241,222,100,171,17,150,26,18,363,1677,14906,140,1010,2123,63,54,583,2665,377,184,188,1013,744,797,3472,203,629,635,142,3157,11607,88.5,10.1,20668524,3971695,19706460,7504646,1807725,1702727,79494,14,227,17,204,1870,6,94,1056,2,860,37,2,43065,4295,453,197,5,4,51,26,124,37,93,9,650
R36206,ìøìáåß,à¢îgés,37202,17611,19591,36902,17556,19346,4134,2100,2034,20593,10107,10486,12427,5382,7045,6543,2430,4113,293,214,623,665,813,13108,13059,36307,7312,2811,3675,1844,1533,131,54,19111,9003,1410,19,167,158,1,3,35,325,18,14,27,132,144,62,131,28,123,22,20,325,1065,11060,128,913,2833,11,8,398,1895,114,34,74,520,476,569,1879,372,471,339,154,3746,7160,84,5.9,20987911,3502263,20287082,6437289,1936755,1731935,30952,7,229,11,159,1751,4,89,959,2,845,12,4,39368,1540,268,101,3,3,30,19,45,27,30,7,483
R36207,ìøìáåß,î¸înés,30501,14443,16058,30186,14339,15847,3084,1601,1483,16526,8323,8203,10796,4456,6340,6230,2206,4024,270,165,501,603,766,11440,11377,29038,6200,3041,3082,1619,1754,96,38,36714,7504,1548,19,168,107,4,4,27,417,29,49,44,153,155,66,134,13,124,32,19,278,1251,11819,165,1154,1506,35,13,452,2383,238,129,190,744,441,559,2481,185,483,630,165,2691,8963,86.8,8.5,23018856,3082919,22221931,5873766,3002117,1750775,456028,7,185,13,151,1254,7,102,737,2,851,5,1,30957,6070,370,110,3,6,32,16,60,17,60,6,468
R36208,ìøìáåß,éOçDés,26836,12483,14353,26672,12448,14224,2326,1248,1078,13500,6844,6656,10992,4382,6610,6789,2336,4453,163,123,557,573,735,11311,11248,25457,5913,3768,3259,1825,2247,80,28,72142,8915,1787,17,202,119,7,9,33,456,25,82,46,196,185,72,139,27,129,41,17,323,1447,12054,165,1375,1549,159,30,358,1946,184,120,237,940,456,620,2422,258,609,612,165,2938,8951,82.9,7.2,27214321,2605986,26077339,6752081,2361545,2526926,353370,14,100,20,157,961,6,85,539,3,944,62,2,28379,6825,392,120,2,4,28,13,65,14,58,10,515
R36301,ìøìáåß,èüâYí¨,5301,2515,2786,5280,2511,2769,504,274,230,2696,1345,1351,2101,896,1205,1202,463,739,20,28,90,109,115,1860,1853,5061,962,436,562,324,309,22,9,6983,2264,277,10,51,28,1,0,6,60,3,1,7,17,26,12,12,7,30,5,10,80,187,1928,50,299,420,4,0,124,227,19,3,11,88,64,124,273,43,76,81,50,741,1137,71.4,5.8,4164998,491358,3827069,809171,214022,239119,29865,0,0,2,25,214,1,13,108,1,124,1,1,5552,927,52,12,0,1,2,3,3,4,4,2,135
R36302,ìøìáåß,è„èüí¨,1545,741,804,1534,737,797,111,54,57,593,316,277,841,371,470,546,233,313,11,6,49,36,73,732,730,1450,337,311,233,163,205,5,2,10963,1264,111,1,20,8,0,1,1,23,0,0,4,8,10,2,10,4,11,6,3,28,80,712,22,112,127,0,1,13,70,0,0,41,42,18,30,108,33,27,65,25,239,448,84.9,4.2,3252684,137446,2972319,452659,284563,154957,148714,0,0,1,12,43,1,13,32,0,0,0,0,1701,734,21,5,0,0,4,0,1,0,1,1,35
R36321,ìøìáåß,ç≤ìﬂâÕì‡ë∫,2289,1099,1190,2280,1096,1184,194,113,81,1107,542,565,988,444,544,542,214,328,9,6,53,58,49,793,791,2235,395,158,257,138,116,10,5,4228,1318,110,1,33,7,2,0,3,25,0,0,0,7,6,5,5,3,9,4,1,40,69,574,5,97,50,2,0,32,62,0,0,0,28,18,40,138,25,25,52,5,147,422,73.2,6.8,2520691,204089,2418447,418056,142721,129389,54312,0,0,1,10,86,1,15,42,0,0,4,1,2508,113,23,5,0,0,2,0,2,0,2,1,56
R36341,ìøìáåß,êŒà‰í¨,25590,12106,13484,25386,12035,13351,3232,1672,1560,14463,6971,7492,7670,3317,4353,3754,1428,2326,150,175,306,681,713,9327,9308,24997,5607,2114,2462,1262,952,103,39,2885,2648,1217,13,112,99,2,5,24,283,11,86,28,113,116,75,129,11,95,12,14,213,990,9139,60,444,1616,38,72,511,1894,133,202,232,851,328,288,1747,84,415,220,61,2063,7015,84.3,6.4,9077639,2528240,8477397,3258556,318777,1091696,2484,6,385,6,104,1315,2,52,652,1,477,6,0,26380,2366,239,89,3,2,24,17,42,21,52,7,486
R36342,ìøìáåß,ê_éRí¨,5300,2494,2806,5262,2486,2776,300,171,129,2378,1230,1148,2622,1093,1529,1682,631,1051,38,18,128,118,177,2156,2149,5075,1095,636,776,489,454,22,2,17330,2419,366,10,63,43,2,4,6,82,0,2,4,41,28,11,15,14,33,8,10,106,250,1788,137,227,221,18,12,61,196,0,6,8,203,55,82,302,65,92,103,137,448,1203,74.7,3.5,5077009,501197,4792129,1108582,227473,579223,515352,0,0,2,23,120,2,14,63,1,85,6,0,5843,481,76,18,0,0,5,3,4,4,4,2,104
R36368,ìøìáåß,ìﬂâÍí¨,8402,3973,4429,8385,3966,4419,698,371,327,3731,1938,1793,3914,1636,2278,2415,934,1481,13,43,181,162,275,3481,3472,8100,1886,1014,1211,730,690,28,15,69498,3567,563,12,62,60,2,3,15,146,4,2,7,62,44,29,33,15,42,22,15,122,426,3477,128,543,698,22,12,86,434,39,2,69,232,76,195,476,77,116,224,176,1241,2060,86,6.6,13107478,911230,11014893,1674234,965886,672725,432749,0,0,7,42,285,4,46,173,1,227,22,1,9162,1642,135,43,0,1,10,2,10,3,21,3,87
R36383,ìøìáåß,ñ¥äÚí¨,4259,1965,2294,4232,1960,2272,336,177,159,1880,934,946,2043,854,1189,1151,430,721,27,20,93,110,133,1871,1866,4020,1052,622,667,422,407,6,2,5662,727,322,2,22,27,2,1,8,99,5,14,5,36,26,15,25,2,22,8,5,49,268,1743,2,140,194,11,1,23,379,38,17,38,112,50,78,411,34,71,136,10,334,1399,87.4,6.3,3689367,324287,3235558,780172,199420,220974,20908,0,0,1,16,136,1,14,89,0,0,0,1,4484,806,86,23,1,1,8,3,13,4,15,1,65
R36387,ìøìáåß,î¸îgí¨,7092,3302,3790,7057,3292,3765,579,287,292,3305,1674,1631,3208,1341,1867,1876,721,1155,35,27,151,147,232,2901,2886,6585,1635,879,1026,650,554,30,4,14080,1547,431,3,47,31,1,4,5,107,3,17,9,44,42,25,31,11,37,12,5,78,348,2467,30,186,244,4,27,22,382,27,21,78,147,185,100,643,65,88,190,58,430,1979,85.2,5.6,6639399,509279,6403135,1384338,268888,538536,45946,0,0,5,31,210,4,30,144,0,0,32,1,7345,3015,100,32,0,2,6,3,14,3,15,5,136
R36388,ìøìáåß,äCózí¨,9283,4351,4932,9111,4290,4821,818,441,377,4451,2194,2257,3987,1701,2286,2246,855,1391,172,42,174,218,232,4198,4186,9012,2263,1454,1322,786,845,28,10,32765,2846,595,9,65,44,2,0,11,172,4,6,13,69,56,20,37,11,58,13,14,109,472,3657,56,358,792,8,0,41,752,46,8,23,290,111,189,550,62,216,110,101,1150,2406,74.5,2.5,8693731,723462,8359078,1856235,723666,742213,245725,1,40,3,44,337,2,30,231,1,383,5,2,10027,1569,143,45,1,1,7,7,12,8,26,4,131
R36401,ìøìáåß,èºñŒí¨,15204,7585,7619,15090,7523,7567,2100,1050,1050,9388,4879,4509,3568,1545,2023,1650,611,1039,61,132,160,746,793,5881,5858,14283,3458,1832,1130,601,470,88,34,1424,1418,649,5,52,52,4,3,48,163,7,41,16,71,46,25,53,5,45,12,5,105,539,9250,39,321,2653,19,3,1350,1447,49,227,63,581,171,185,1085,67,263,726,39,2975,6236,74.8,0.3,6342514,2698398,6172441,1717609,561498,1032745,0,4,286,3,69,841,1,29,413,0,0,1,1,15437,164,120,52,2,2,11,6,18,11,32,3,266
R36402,ìøìáåß,ñkìáí¨,22446,10826,11620,22153,10673,11480,3392,1755,1637,13480,6598,6882,5385,2391,2994,2477,985,1492,96,241,165,1016,984,8824,8813,22040,5488,2452,1869,992,818,122,49,874,874,867,3,71,51,3,3,22,243,16,60,20,81,96,51,88,4,49,6,3,122,742,8916,36,485,1256,17,29,645,2213,196,219,194,653,361,354,1501,56,495,206,36,1741,7139,77.6,3.2,7496339,3074982,6951764,2471817,560864,875405,0,3,251,3,90,1366,1,43,652,0,0,1,1,22964,159,197,69,5,3,21,13,52,21,94,6,565
R36403,ìøìáåß,óïèZí¨,34626,16574,18052,34349,16444,17905,5361,2764,2597,21445,10312,11133,7591,3367,4224,3151,1141,2010,131,333,265,1404,1386,13133,13104,33898,8488,3238,2588,1355,1082,186,84,1627,1627,1389,2,132,79,1,5,20,411,23,57,43,164,167,59,141,8,70,7,2,211,1176,13078,4,644,3121,8,28,311,3298,177,239,140,1408,619,538,1815,77,471,180,4,3765,9309,81,4.9,10718482,4018406,10334508,4117328,584896,1670257,0,4,649,4,140,2107,2,80,1024,0,0,0,1,34751,743,340,146,7,2,29,17,45,18,64,4,533
R36404,ìøìáåß,î¬ñÏí¨,13358,6355,7003,13244,6340,6904,1451,773,678,7851,3869,3982,4019,1699,2320,2009,745,1264,111,90,165,471,398,4930,4912,12871,2805,1251,1278,625,566,54,26,3622,1964,539,5,60,45,1,4,17,132,3,11,15,49,51,24,57,10,44,10,6,105,428,5433,131,325,839,5,167,458,823,42,45,89,163,134,483,1136,96,292,203,133,1164,4136,94,11.3,6234059,1465313,6033073,1858933,824013,507622,0,4,164,4,55,623,1,27,358,1,530,2,1,13663,1253,112,38,2,2,12,6,35,9,35,2,173
R36405,ìøìáåß,è„î¬í¨,12039,5721,6318,11974,5701,6273,1344,684,660,6777,3315,3462,3778,1648,2130,1847,690,1157,63,73,166,250,302,4256,4244,11613,2517,868,1159,591,454,46,21,3458,2243,456,11,51,53,1,1,8,125,3,4,9,25,47,20,45,9,36,7,12,104,340,3627,97,236,575,5,5,266,730,22,17,58,153,154,131,824,90,157,103,101,811,2715,87.4,7.2,5554657,1139713,5194271,1567538,329984,852422,35474,4,159,4,60,578,1,28,346,0,0,1,0,12492,2422,98,18,1,0,9,6,23,6,15,1,160
R36468,ìøìáåß,Ç¬ÇÈÇ¨í¨,8927,4140,4787,8905,4136,4769,749,395,354,4308,2203,2105,3869,1541,2328,2374,816,1558,22,41,207,171,263,3838,3828,8635,2050,1257,1204,720,877,23,6,19484,2811,539,5,60,71,4,1,6,149,8,21,8,41,54,23,40,5,32,11,5,131,403,3935,22,378,1227,18,2,49,582,60,33,26,158,89,221,708,43,139,180,22,1605,2308,94.3,8.5,9592625,762114,9210561,2120421,720603,565809,126980,5,95,5,41,313,4,30,199,1,526,8,0,9892,1654,138,28,1,3,8,5,26,6,26,2,87
R36489,ìøìáåß,ìåÇ›ÇÊÇµí¨,14638,6959,7679,14564,6936,7628,1730,875,855,8115,4083,4032,4769,1985,2784,2721,967,1754,73,111,202,346,406,5325,5310,13841,2977,1358,1304,719,730,38,27,12248,2611,733,9,89,58,2,2,13,180,7,36,18,80,95,22,47,11,55,9,9,147,577,4760,50,452,687,8,4,101,978,72,68,60,389,252,179,1031,62,241,126,50,1139,3571,84,7,8634295,1289132,7970108,2465964,824537,515806,22759,6,128,7,64,669,2,40,368,0,0,12,1,14958,2707,159,61,1,2,10,7,20,12,20,4,381
R37201,çÅêÏåß,çÇèºés,420748,205049,215699,411933,200683,211250,55082,28198,26884,240958,119806,121152,109369,47398,61971,52309,20094,32215,2447,3596,4425,13121,12868,182047,181690,410066,101559,65082,38326,21624,20829,2281,722,37541,23364,23223,80,1988,1471,30,290,514,6163,499,1913,1082,2833,1783,840,1700,117,1717,164,98,3480,19645,230615,591,15699,20051,1949,5062,11938,51771,7837,6718,6279,20333,9242,10614,31609,2340,19149,9239,701,35834,194080,89.8,9.2,163538675,63439069,156645561,64391424,13078888,20228380,60019,50,6003,52,1470,24034,29,881,12372,14,12007,0,5,429329,32631,3778,2471,86,31,408,234,1171,344,1122,75,8733
R37202,çÅêÏåß,ä€ãTés,110010,53183,56827,108333,52181,56152,15054,7663,7391,63441,31703,31738,29572,12764,16808,14076,5403,8673,1238,961,1199,3515,3522,43853,43731,106836,26423,12838,10136,5709,4948,528,215,11179,8158,4657,21,433,345,9,26,93,1207,97,259,191,604,415,187,379,34,298,44,24,790,3843,45054,210,3133,8780,204,200,2208,8678,1047,877,1141,3687,1819,2233,6955,263,2632,942,222,11946,32886,91.3,4.2,41615221,13181419,40757533,16666451,3119615,5256923,19453,10,1118,18,417,6323,10,271,3722,5,3067,1,3,113562,8314,950,539,21,9,87,55,245,93,236,25,3027
R37203,çÅêÏåß,ç‚èoés,53164,25359,27805,52687,25127,27560,6264,3230,3034,28511,14257,14254,18133,7699,10434,9145,3385,5760,362,347,786,1436,1643,21361,21294,51082,12587,6336,5956,3379,3058,214,83,9249,6631,3154,46,303,294,12,11,159,774,35,256,114,302,234,119,221,27,206,38,48,598,2508,31197,369,2010,7155,343,64,2897,5149,450,631,1039,1670,920,1123,5066,323,1284,688,384,9166,21647,90.6,12.6,24039796,9661447,23054605,8716104,2301397,2115991,26206,12,644,13,198,2821,7,136,1533,4,2158,18,1,54896,9091,557,238,8,5,49,29,202,54,151,12,1111
R37204,çÅêÏåß,ëPí éõés,32927,16315,16612,32716,16221,16495,4215,2174,2041,19074,10012,9062,9497,4046,5451,4849,1832,3017,185,257,433,1674,1785,12977,12914,30985,7134,4218,3131,1751,1599,143,57,3993,3078,1553,14,115,105,2,4,28,391,19,121,49,226,133,88,115,17,108,18,14,220,1319,15287,213,661,1681,12,24,548,2762,207,223,303,1306,407,1118,2663,173,784,2202,213,2342,12732,88.8,6.4,14721193,3575418,13682900,5599841,1229424,1173913,0,9,693,8,147,1628,2,70,794,2,1451,11,1,32884,6909,314,193,5,3,29,12,152,20,80,6,535
R37205,çÅêÏåß,äœâπéõés,59409,28443,30966,58926,28267,30659,7162,3741,3421,32838,16396,16442,18983,8069,10914,10055,3822,6233,278,450,842,1326,1535,21984,21896,57943,12480,5466,5800,3092,2634,274,83,11784,7405,3232,35,280,402,6,17,85,937,60,114,103,329,286,126,198,28,189,37,35,682,2515,30354,464,1522,7505,117,50,1749,5912,635,351,1122,2513,880,1219,3914,463,1354,584,464,9027,20863,89.2,10.2,27310605,8473825,26547411,8503968,1931630,2804759,49676,7,812,10,198,2930,5,119,1399,3,1666,18,3,62175,4016,698,272,9,5,47,28,181,46,142,10,1112
R37206,çÅêÏåß,Ç≥Ç Ç´és,50272,24148,26124,49963,24021,25942,5405,2770,2635,27539,13856,13683,17044,7370,9674,8903,3504,5399,279,237,699,1009,1290,19752,19705,48761,11340,5578,5544,3105,2448,176,61,15863,7644,2154,32,236,277,6,4,42,499,25,59,62,226,192,99,178,27,145,41,36,513,1605,19719,378,1078,5477,31,19,764,3209,301,228,302,1193,716,1204,2897,389,1069,439,403,6555,12761,89.1,13.5,26101252,5700109,25049333,6874991,2895999,2449502,63398,10,506,9,176,2290,3,95,1223,4,1820,13,2,51062,3639,416,183,5,2,39,22,81,28,114,11,935
R37207,çÅêÏåß,ìåÇ©Ç™ÇÌés,31031,14695,16336,30837,14657,16180,2983,1530,1453,15752,7826,7926,12244,5298,6946,6416,2518,3898,182,150,520,573,628,12441,12413,30213,7573,3185,4167,2468,1973,107,40,15283,4921,1584,16,132,301,4,7,24,374,24,40,40,162,144,49,124,16,90,23,30,433,1121,13548,329,656,4724,41,13,526,2305,213,164,120,619,523,428,1970,182,264,369,431,5380,7737,86.7,2.6,16736082,3700896,15319419,4629780,1119871,1463126,27187,5,162,6,95,1202,3,74,735,1,536,4,1,32520,6383,292,139,2,3,20,14,59,18,86,10,586
R37208,çÅêÏåß,éOñLés,65524,31274,34250,65011,31128,33883,7754,3926,3828,35192,17639,17553,22441,9645,12796,12032,4574,7458,442,421,974,1219,1364,22761,22711,63479,12848,4848,6461,3466,2713,221,97,22271,14444,2985,52,345,375,2,13,94,745,40,102,55,274,279,130,178,42,222,33,53,723,2209,26254,660,1898,7907,41,53,1619,4349,314,246,263,1402,915,1420,2947,360,997,785,672,9871,15711,85.2,5,39901740,7501262,38067817,9082995,2062286,10357301,143572,19,1088,20,287,3187,7,174,1961,3,1401,33,6,68239,8005,604,211,8,7,42,21,73,30,76,10,1009
