"pref","year","suicide","unemp"
"岐阜",2009,23.1,4.2
"静岡",2009,21.7,4.1
"愛知",2009,20.9,4.6
"三重",2009,23.3,4.4
"滋賀",2009,20.2,4.1
"京都",2009,22.1,5.5
"大阪",2009,24.1,6.5
"兵庫",2009,22.5,5.2
"奈良",2009,19.6,4.6
"和歌山",2009,25.8,4
"鳥取",2009,25.6,4.8
"島根",2009,30.9,3.7
"岡山",2009,20.8,4.6
"広島",2009,23.6,4.4
"山口",2009,28.3,4.2
"徳島",2009,21.1,4.7
"香川",2009,20.7,4.1
"愛媛",2009,23.2,4.5
"高知",2009,30.5,5.7
"福岡",2009,23.6,5.7
"佐賀",2009,26.6,3.8
"長崎",2009,23.1,4.7
"熊本",2009,25,4.7
"大分",2009,24.9,4.4
"宮崎",2009,29.8,4.9
"鹿児島",2009,24.4,4.8
"沖縄",2009,27.9,7.5
"北海道",2010,25.4,5.1
"青森",2010,29.4,6.5
"岩手",2010,32.2,5.1
"宮城",2010,22.8,5.7
"秋田",2010,33.1,5.4
"山形",2010,26.4,4.5
"福島",2010,25.2,5.2
"茨城",2010,23.9,4.8
"栃木",2010,25,4.7
"群馬",2010,25.8,4.7
"埼玉",2010,23.1,5.2
"千葉",2010,21.7,4.7
"東京",2010,22,5.5
"神奈川",2010,21.2,4.9
"新潟",2010,28.6,4.4
"富山",2010,23,3.8
"石川",2010,22.5,4.3
"福井",2010,20.1,3.3
"山梨",2010,27.4,4.4
"長野",2010,23.6,4
"岐阜",2010,20.8,3.7
"静岡",2010,23.1,3.9
"愛知",2010,19.8,4.3
"三重",2010,19.3,4
"滋賀",2010,22.2,4.3
"京都",2010,22.5,5.7
"大阪",2010,24.1,6.9
"兵庫",2010,22.8,5.3
"奈良",2010,19.2,4.8
"和歌山",2010,25,4.3
"鳥取",2010,24.8,4.2
"島根",2010,25.8,3.2
"岡山",2010,20.9,4.3
"広島",2010,21.5,4.1
"山口",2010,24.3,3.9
"徳島",2010,19.5,4.7
"香川",2010,21.7,3.9
"愛媛",2010,21,4.6
"高知",2010,25.9,5
"福岡",2010,23.3,6
"佐賀",2010,26,4.5
"長崎",2010,25.9,5
"熊本",2010,24.9,5
"大分",2010,22.4,4.6
"宮崎",2010,27.1,4.9
"鹿児島",2010,24.3,5.1
"沖縄",2010,25.5,7.5
"北海道",2011,24,5.2
"青森",2011,26.2,6.2
"岩手",2011,28.3,5
"宮城",2011,20.7,5.7
"秋田",2011,32.3,5.2
"山形",2011,22.8,4.3
"福島",2011,25.3,4.8
"茨城",2011,23.4,4.4
"栃木",2011,24.3,4.2
"群馬",2011,24.2,4.2
"埼玉",2011,22.3,4.7
"千葉",2011,22.3,4.4
"東京",2011,22.7,4.8
"神奈川",2011,21,4.5
"新潟",2011,27.7,4
"富山",2011,25.2,3.3
"石川",2011,22.6,3.8
"福井",2011,18.4,3
"山梨",2011,25.1,3.8
"長野",2011,23.3,3.7
"岐阜",2011,22.6,3.7
"静岡",2011,22.5,3.6
"愛知",2011,20.4,3.6
"三重",2011,19.8,3.5
"滋賀",2011,22.2,3.7
"京都",2011,20.1,4.8
"大阪",2011,22.5,5.1
"兵庫",2011,22.8,4.6
"奈良",2011,17.4,4.5
"和歌山",2011,23.8,3.8
"鳥取",2011,25.3,4
"島根",2011,26.3,2.9
"岡山",2011,20.2,3.7
"広島",2011,19.6,3.6
"山口",2011,24,3.5
"徳島",2011,18.8,4.3
"香川",2011,24.3,3.7
"愛媛",2011,21.5,4.2
"高知",2011,26.1,4.3
